SEX,AGE,score_raw,score_transform
1,30,993.351538253966,875.892250356909
1,30,993.342534786578,875.748518772511
1,30,993.324126411871,875.39794260702
1,30,993.285153020925,874.85407890092
1,30,993.282142177894,874.77063178185
1,30,993.270486790813,874.610643287919
1,30,993.262726075307,874.372806895248
1,40,993.257368677011,874.195929156522
1,30,993.255641181792,874.097604254147
1,30,993.245318203673,873.855851925298
1,30,993.221666505231,873.643334048272
1,30,993.205001622317,873.421666350885
1,30,993.193875356314,873.238027198509
1,40,993.177192444385,872.89904824238
1,30,993.174447028658,872.651991415811
1,30,993.166269728433,872.41715982616
1,30,993.156086676061,872.149202343081
1,30,993.139228318015,871.717803542203
1,30,993.124687584329,871.428648714831
1,30,993.114360423596,871.179580396757
1,30,993.059477843909,870.513558374618
1,30,993.047734589383,870.402779002456
1,30,993.018267345002,869.716862208054
1,30,993.013390603654,869.642423381894
1,30,992.986257995011,869.228500349532
1,30,992.969767744609,868.889092127207
1,40,992.958660218825,868.745684033358
1,30,992.952187257949,868.589768353531
1,30,992.934175579677,868.33044353858
1,30,992.92243735661,868.121524918364
1,30,992.858769521662,867.378822143898
1,30,992.836837826657,866.987643874321
1,30,992.810920403007,866.687168792181
1,30,992.785576671978,866.174270524394
1,30,992.775608145161,865.953936657622
1,30,992.759416365614,865.707743140338
1,30,992.756307292384,865.460751583222
1,30,992.734030934377,865.244061601643
1,30,992.709373018273,864.970496937019
1,30,992.693711492565,864.813124192779
1,30,992.664485588622,864.283338354247
1,30,992.645664016666,864.089533217291
1,30,992.617968167214,863.816968946135
1,30,992.609504721056,863.704976020916
1,30,992.593674844292,863.503152684159
1,30,992.584858308413,863.401499985856
1,30,992.555159039776,862.950654927015
1,30,992.542912611815,862.824167486929
1,30,992.533588209085,862.666822957684
1,30,992.525717310533,862.548070677442
1,30,992.521727454293,862.456490524112
1,30,992.499202988335,862.037129390898
1,30,992.469609364971,861.584004467668
1,30,992.456563202556,861.217113636223
1,30,992.451821673436,861.155133284516
1,30,992.441121903756,861.030455627381
1,30,992.382376452194,860.341597202894
1,30,992.361729571112,860.115737338529
1,30,992.348658808691,859.870419337579
1,30,992.325417797379,859.58893236207
1,30,992.310652563158,859.312314857629
1,40,992.306713817728,859.26239137423
1,30,992.298092252781,859.109692071707
1,30,992.276913674322,858.71463651998
1,30,992.264636069618,858.548504186356
1,30,992.252835165683,858.345587601669
1,30,992.248808609216,858.234999147797
1,30,992.239832561185,858.072645604877
1,30,992.223306544125,857.747920945836
1,30,992.222364175625,857.715041351893
1,30,992.209807388186,857.492369372112
1,30,992.200579062103,857.361262374567
1,30,992.148523881599,856.528224626949
1,30,992.147447633724,856.493625160538
1,30,992.129442894426,856.063691185238
1,30,992.125532939266,855.971540371949
1,30,992.115287509577,855.77521758901
1,30,992.109600882141,855.601586547502
